season,round,url,raceName,date,time,Circuit.circuitId,Circuit.url,Circuit.circuitName,Circuit.Location.lat,Circuit.Location.long,Circuit.Location.locality,Circuit.Location.country,FirstPractice.date,FirstPractice.time,SecondPractice.date,SecondPractice.time,ThirdPractice.date,ThirdPractice.time,Qualifying.date,Qualifying.time,Sprint.date,Sprint.time,source,SprintShootout.date,SprintShootout.time,SprintQualifying.date,SprintQualifying.time
2022,11,https://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix,Austrian Grand Prix,2022-07-10,13:00:00Z,red_bull_ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,2022-07-08,11:30:00Z,2022-07-09,10:30:00Z,,,2022-07-08,15:00:00Z,2022-07-09,14:30:00Z,races,,,,
2022,12,https://en.wikipedia.org/wiki/2022_French_Grand_Prix,French Grand Prix,2022-07-24,13:00:00Z,ricard,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,Circuit Paul Ricard,43.2506,5.79167,Le Castellet,France,2022-07-22,12:00:00Z,2022-07-22,15:00:00Z,2022-07-23,11:00:00Z,2022-07-23,14:00:00Z,,,races,,,,
2022,13,https://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix,Hungarian Grand Prix,2022-07-31,13:00:00Z,hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,2022-07-29,12:00:00Z,2022-07-29,15:00:00Z,2022-07-30,11:00:00Z,2022-07-30,14:00:00Z,,,races,,,,
2022,14,https://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix,Belgian Grand Prix,2022-08-28,13:00:00Z,spa,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,2022-08-26,12:00:00Z,2022-08-26,15:00:00Z,2022-08-27,11:00:00Z,2022-08-27,14:00:00Z,,,races,,,,
2022,15,https://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix,Dutch Grand Prix,2022-09-04,13:00:00Z,zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,2022-09-02,10:30:00Z,2022-09-02,14:00:00Z,2022-09-03,10:00:00Z,2022-09-03,13:00:00Z,,,races,,,,
2022,16,https://en.wikipedia.org/wiki/2022_Italian_Grand_Prix,Italian Grand Prix,2022-09-11,13:00:00Z,monza,https://en.wikipedia.org/wiki/Monza_Circuit,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2022-09-09,12:00:00Z,2022-09-09,15:00:00Z,2022-09-10,11:00:00Z,2022-09-10,14:00:00Z,,,races,,,,
2022,17,https://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix,Singapore Grand Prix,2022-10-02,12:00:00Z,marina_bay,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,2022-09-30,10:00:00Z,2022-09-30,13:00:00Z,2022-10-01,10:00:00Z,2022-10-01,13:00:00Z,,,races,,,,
2022,18,https://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix,Japanese Grand Prix,2022-10-09,05:00:00Z,suzuka,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2022-10-07,03:00:00Z,2022-10-07,06:00:00Z,2022-10-08,03:00:00Z,2022-10-08,06:00:00Z,,,races,,,,
2022,19,https://en.wikipedia.org/wiki/2022_United_States_Grand_Prix,United States Grand Prix,2022-10-23,19:00:00Z,americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA,2022-10-21,19:00:00Z,2022-10-21,22:00:00Z,2022-10-22,19:00:00Z,2022-10-22,22:00:00Z,,,races,,,,
2022,20,https://en.wikipedia.org/wiki/2022_Mexico_City_Grand_Prix,Mexico City Grand Prix,2022-10-30,20:00:00Z,rodriguez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico,2022-10-28,18:00:00Z,2022-10-28,21:00:00Z,2022-10-29,17:00:00Z,2022-10-29,20:00:00Z,,,races,,,,
